1,1,71446
2,6,39690
3,8,629248
4,1,7496
5,8,250824
6,32,1786336
7,1,30949
8,4,21808
9,40,2124200
10,1,63006
11,4,288252
12,32,88512
13,1,53993
14,7,258965
15,16,625472
16,1,26424
17,5,343575
18,8,104064
19,1,54173
20,5,15095
21,40,1332760
22,1,56164
23,2,69302
24,40,3267720
25,1,38022
26,4,82136
27,32,1792640
28,1,49681
29,6,310692
30,24,1565184
31,1,63211
32,7,33586
33,8,51008
34,1,60179
35,5,206880
36,8,537552
37,1,81471
38,6,13152
39,32,2052096
40,1,59963
41,8,96056
42,32,831456
43,1,66781
44,6,346812
45,24,365904
46,1,30843
47,4,155008
48,32,2266496
49,1,9690
50,3,183411
51,40,2107720
52,1,54308
53,6,145512
54,8,265984
55,1,52688
56,5,403655
